mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.20501629511515299,0.003018279148875194,0.014340400695800781,0.0003380718284521749,5,sqrt,2,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.8116521278308851,0.7958206461758865,0.7938566258184658,0.8004431332750791,0.007966409195497327,10
0.20409814516703287,0.0023581322054168573,0.014653762181599935,0.00018921548282536927,5,sqrt,5,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.8106620610124278,0.787406234061229,0.7921091934885038,0.7967258295207201,0.010039700127875487,12
0.32694347699483234,0.005760408356055604,0.01482089360555013,0.00023773033091118188,5,0.7,2,"{'model__max_depth': 5, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.8241618603094842,0.7992389554889555,0.8104784206024237,0.8112930788002878,0.010191027006073983,1
0.3323921362559001,0.002898483925451601,0.01453852653503418,0.00020250295972155095,5,0.7,5,"{'model__max_depth': 5, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.8164917204436005,0.7937533989497801,0.8083211215672579,0.8061887469868795,0.009404540821764994,6
0.23978718121846518,0.00723327668159153,0.017212867736816406,0.00022085617811439434,8,sqrt,2,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.8090722054387564,0.8012958147757211,0.8005041815356978,0.8036240672500584,0.003865947756936116,8
0.2422355810801188,0.006818683336744952,0.01625537872314453,0.00020817651268837366,8,sqrt,5,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.8158467011915288,0.7960322568385797,0.7966675223871035,0.8028488268057373,0.009194543472114168,9
0.40845322608947754,0.0009100392087238948,0.01633453369140625,0.0002777514709419596,8,0.7,2,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.8183626328996417,0.7957798041157912,0.8166817799344819,0.8102747389833049,0.010272411897333586,2
0.40276296933492023,0.006676428321151128,0.015909194946289062,0.0004291998431940919,8,0.7,5,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.819075963240723,0.7930309618906111,0.8165525199305338,0.809553148353956,0.011728282786554535,4
0.2624785900115967,0.00983310825935194,0.018267234166463215,0.00043152227485653986,,sqrt,2,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.8178731862452793,0.7999084140280006,0.7997130368569509,0.805831545710077,0.008515099261273577,7
0.24470957120259604,0.015479812482029804,0.018666505813598633,0.002700629117416398,,sqrt,5,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.8071991528628697,0.793044122040438,0.8006575558828372,0.800300276928715,0.005784286794658566,11
0.4537588755289714,0.028695912692849337,0.017597198486328125,0.0011984657808179321,,0.7,2,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.8236233512746199,0.7872044279925351,0.818622618174067,0.809816799147074,0.016119167261549407,3
0.4136219024658203,0.016205810589024806,0.016911983489990234,0.00022385282782013245,,0.7,5,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.8213479039065125,0.7924408675011986,0.8108386909302241,0.808209154112645,0.011946827649793018,5
