mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.21393624941507974,0.006171126162735208,0.016139507293701172,0.0017425221863890004,5,sqrt,2,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7655403687871285,0.7561852523546612,0.8014871191668537,0.7744042467695477,0.01952760497061907,11
0.20321130752563477,0.0028156801428229523,0.015978018442789715,0.0021543872933128057,5,sqrt,5,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.743220215520685,0.7676311956786698,0.7996249217739301,0.7701587776577616,0.023096381027836222,12
0.32083741823832196,0.0019327348386996676,0.01421054204305013,0.0002290022001524744,5,0.7,2,"{'model__max_depth': 5, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.7789084417094424,0.7949729565834697,0.813719765550243,0.795867054614385,0.014225719087950929,2
0.325264851252238,0.008867131808298748,0.014905691146850586,0.00035191782962746805,5,0.7,5,"{'model__max_depth': 5, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.774671957256227,0.7930420867897455,0.8122187399549983,0.7933109280003237,0.015329588588838408,5
0.241102933883667,0.00534194531729395,0.016169309616088867,0.0001378475938030986,8,sqrt,2,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7745024551079126,0.7937695086631257,0.8074615920130945,0.7919111852613776,0.013519521707090695,6
0.2283173402150472,0.004376177924309976,0.015869299570719402,1.9762712745399676e-05,8,sqrt,5,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.759347442680776,0.7811386597177239,0.7943084929475003,0.7782648651153333,0.0144167213216841,10
0.39985060691833496,0.0071936188833044935,0.01606615384419759,0.0002541532609900958,8,0.7,2,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.7692927507010726,0.8049171103549684,0.8063757291982174,0.7935285300847528,0.017147626540978077,4
0.3805099328358968,0.001088502319919187,0.016236225763956707,0.0004818243976179215,8,0.7,5,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.7701052553926179,0.7963220569576714,0.8007828513563607,0.7890700545688834,0.01353322768876428,8
0.27890340487162274,0.012226145604547675,0.01774295171101888,0.00016266605409688664,,sqrt,2,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7751084612786739,0.803880956230658,0.8067337203450501,0.7952410459514607,0.014283447062439947,3
0.23845267295837402,0.0024901204409030157,0.01689426104227702,0.0003342424594479641,,sqrt,5,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7682553788125636,0.7960921612376066,0.7947456422029702,0.7863643940843801,0.012816801576155768,9
0.4642876784006755,0.0191660717956125,0.01750771204630534,0.00012499749475920822,,0.7,2,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.7605464312451421,0.8077982627260392,0.8011224916324183,0.7898223952011998,0.020879863171500923,7
0.40688284238179523,0.002423512220884,0.0171661376953125,0.0012266420180830921,,0.7,5,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.7824341818649874,0.808946158598959,0.8076694269940986,0.7996832558193483,0.012208069055887385,1
