mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.010209004084269205,0.00043377198321199853,0.00473475456237793,5.6199057276294366e-05,0.01,{'model__C': 0.01},0.7567760367518964,0.7433342816216729,0.7889669225876123,0.7630257469870605,0.01914642941297789,4
0.010736942291259766,0.0005060103942590143,0.004666884740193685,3.069484242804422e-05,0.1,{'model__C': 0.1},0.7578447218682429,0.7433917294108611,0.7931955791065807,0.7648106767952282,0.020920472543452907,1
0.00982197125752767,0.00010993179373094843,0.004806121190388997,0.0002971955780936571,1.0,{'model__C': 1.0},0.751803055728728,0.7485615707456871,0.7887213061759318,0.7630286442167823,0.018215587924159303,3
0.009859641393025717,0.00017525461263350153,0.004812479019165039,0.0002086134864986505,10.0,{'model__C': 10.0},0.7497463534101848,0.7485615707456871,0.7913298610033909,0.7632125950530876,0.019887792082591553,2
