mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.01047952969868978,0.0003916132071642257,0.004770994186401367,4.934439075615813e-05,0.01,{'model__C': 0.01},0.787935134301426,0.7419590747464389,0.7849295341309365,0.7716079143929337,0.021000772642673398,4
0.010728915532430014,0.0007591605061563941,0.005066474278767903,0.00046732674306111714,0.1,{'model__C': 0.1},0.7909642600506395,0.749715982173878,0.7805347406182362,0.7737383276142512,0.01751187271996124,1
0.011122306187947592,0.001208765616879034,0.004744132359822591,2.8471034136925555e-05,1.0,{'model__C': 1.0},0.7879984614099885,0.7501914924803464,0.7828734586420595,0.7736878041774649,0.016745624520431726,2
0.01013334592183431,2.3988695437749516e-05,0.0048906803131103516,0.00016956048193604234,10.0,{'model__C': 10.0},0.7879984614099885,0.7472802843289635,0.7828734586420595,0.7727174014603372,0.018108038901902785,3
