mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.23821552594502768,0.011125310562521128,0.014633973439534506,0.0002222819374038285,5,sqrt,2,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7791004578507946,0.790000014078461,0.8220868556420767,0.7970624425237774,0.018245840081627687,8
0.20839309692382812,0.0047709131659705705,0.014486153920491537,0.00029780140144939835,5,sqrt,5,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7800994134115805,0.7825944069457496,0.8169428664974068,0.793212228951579,0.016810980874267394,11
0.3429687023162842,0.020367479808895344,0.014343818028767904,0.0002039509259384011,5,0.7,2,"{'model__max_depth': 5, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.7879596399981971,0.8010438377369482,0.8258308089535142,0.8049447622295531,0.015704973064463768,5
0.34421102205912274,0.01573169429418935,0.014786640803019205,0.0002712305429137307,5,0.7,5,"{'model__max_depth': 5, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.7972610223364498,0.805795277396728,0.8071115473340879,0.8033892823557552,0.004366525681069728,7
0.24152286847432455,0.00309197784284447,0.016433159510294598,0.00023969628442545724,8,sqrt,2,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7944100602079276,0.7979099319881442,0.8205574617897872,0.804292484661953,0.011589489098495411,6
0.24137043952941895,0.0107447400524495,0.016828139623006184,0.0009548886303559067,8,sqrt,5,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7827823566460893,0.7706160445997844,0.8169428664974068,0.7901137559144269,0.019610467752492818,12
0.4261054992675781,0.006443163192876804,0.02133456865946452,0.003990601311355593,8,0.7,2,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.8039580798704614,0.7928233833380398,0.8215787187635734,0.8061200606573582,0.011838438792085135,4
0.4217429955800374,0.023762906611820286,0.02018419901529948,0.005371077410673159,8,0.7,5,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.8070841565355926,0.8119101135440362,0.8346759080044487,0.8178900593613592,0.012031791256593758,1
0.29598283767700195,0.008762665456298457,0.018127997716267902,0.00027525803273940544,,sqrt,2,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7792793231055741,0.787387204496449,0.821678019500161,0.7961148490340614,0.018376455921845104,9
0.273512601852417,0.00156496084720467,0.018767277399698894,0.001657655979997016,,sqrt,5,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7820850976764047,0.7880737942706642,0.810573275291255,0.7935773890794412,0.012264073081381891,10
0.46614281336466473,0.016222244240363434,0.016553878784179688,6.777157324104157e-05,,0.7,2,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.8006032121826497,0.8012097551571236,0.8303998376054341,0.8107376016484026,0.013905505281900932,3
0.39945125579833984,0.002609489035601729,0.01643689473470052,0.0003508297504076057,,0.7,5,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.8016403418473482,0.8049886652448643,0.8318151943061713,0.8128147337994612,0.013504713794175092,2
