mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.009816169738769531,0.0005749500492248489,0.0048370361328125,0.00017160982223162776,3,2,"{'model__max_depth': 3, 'model__min_samples_leaf': 2}",0.7777292540255951,0.7699428171022448,0.8373257269808994,0.7949992660362465,0.03009766460557753,1
0.009515841801961264,0.0004013516168813875,0.004747947057088216,8.716089648334353e-05,3,5,"{'model__max_depth': 3, 'model__min_samples_leaf': 5}",0.7777292540255951,0.7699428171022448,0.8373257269808994,0.7949992660362465,0.03009766460557753,1
0.00958402951558431,0.0006494296081339694,0.004997571309407552,0.00017753987835646335,3,10,"{'model__max_depth': 3, 'model__min_samples_leaf': 10}",0.7742335070086215,0.7699428171022448,0.8322587563092148,0.7921450268066937,0.028418725938123307,3
0.010496060053507486,0.0005913232052066691,0.004899422327677409,0.00012732777395672355,5,2,"{'model__max_depth': 5, 'model__min_samples_leaf': 2}",0.7701454070095224,0.7869393108674965,0.7933299957917955,0.7834715712229382,0.009777532167597561,4
0.009732802708943685,8.394598956268132e-05,0.004789908727010091,0.00016118275456904454,5,5,"{'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.7706777389758906,0.780599566874117,0.7907763840033039,0.7806845632844372,0.00820545758532356,5
0.01015035311381022,0.00047987263159454766,0.005584319432576497,0.001064941349302344,5,10,"{'model__max_depth': 5, 'model__min_samples_leaf': 10}",0.7664906610819896,0.7508347671687053,0.7847258686957218,0.7673504323154723,0.013849334415031833,11
0.010320266087849935,6.520194807563741e-05,0.0047312577565511065,4.931686371680547e-05,8,2,"{'model__max_depth': 8, 'model__min_samples_leaf': 2}",0.7563954980817761,0.7508136929896976,0.7950399159485334,0.7674163690066691,0.019665272203532248,9
0.012259324391682943,0.0016895351485238512,0.006289084752400716,0.0013483955110035013,8,5,"{'model__max_depth': 8, 'model__min_samples_leaf': 5}",0.7496218296435493,0.7488106663364396,0.8037793657465788,0.7674039539088559,0.02572343207078798,10
0.010623852411905924,0.00022030292418072809,0.004856030146280925,0.00010304470725185017,8,10,"{'model__max_depth': 8, 'model__min_samples_leaf': 10}",0.7645238159123693,0.7797449207984322,0.7896555647430596,0.777974767151287,0.010336062524743242,6
0.012329181035359701,0.0010172755082353353,0.00658106803894043,0.0012101840243035433,,2,"{'model__max_depth': None, 'model__min_samples_leaf': 2}",0.7106875425459496,0.7431066323242912,0.7783205969484775,0.7440382572729062,0.027618936206130856,12
0.015430370966593424,0.0001455247236046274,0.0072138309478759766,4.098072549914515e-05,,5,"{'model__max_depth': None, 'model__min_samples_leaf': 5}",0.7460664571515906,0.7653316697858182,0.7951583604644795,0.768852162467296,0.02019569499110744,8
0.015505790710449219,0.0007421755790161552,0.007244984308878581,0.0001428924227448686,,10,"{'model__max_depth': None, 'model__min_samples_leaf': 10}",0.7672214653776711,0.7722266958464293,0.7835260389200035,0.774324733381368,0.006819633456564457,7
