mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.20936290423075357,0.000953396942280014,0.01459201176961263,0.00010541450990320307,5,sqrt,2,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7450424453136318,0.7865413933210544,0.8069873874003598,0.7795237420116821,0.025771166510358982,7
0.20288896560668945,0.0018834795326162102,0.015009244283040365,0.0005931682182125161,5,sqrt,5,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7394898245962076,0.7902911902911903,0.7964813856545411,0.7754208001806463,0.025532409267390095,12
0.3289623260498047,0.008443296106925966,0.017238378524780273,0.004132913144226281,5,0.7,2,"{'model__max_depth': 5, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.7601627114735728,0.7816483882875481,0.7886355698438726,0.7768155565349978,0.012115915511016383,9
0.3373900254567464,0.014535145400946222,0.01731395721435547,0.00438369572053323,5,0.7,5,"{'model__max_depth': 5, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.7592236747240678,0.7902422330368267,0.7995093961904441,0.7829917679837796,0.017227144687589353,6
0.25031256675720215,0.009037297859954841,0.01722296078999837,0.00040435145918280745,8,sqrt,2,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7522704437410911,0.7754106958087058,0.8010105020846828,0.7762305472114933,0.019906488708897094,10
0.24285109837849936,0.0028195613435447677,0.016201178232828777,0.0005418196834327383,8,sqrt,5,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7466149785250275,0.787111798561907,0.7994387148798913,0.7777218306556085,0.022564210652905287,8
0.397272268931071,0.007535598617975704,0.016453663508097332,0.0002878423818085277,8,0.7,2,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.7604542821315535,0.804080019597261,0.7967796510306632,0.7871046509198258,0.01907887946945933,3
0.3851602077484131,0.002988609029883385,0.016433556874593098,0.0012474432252959314,8,0.7,5,"{'model__max_depth': 8, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.765328065615477,0.7906630322804616,0.7960369569725478,0.7840093516228288,0.01339060869453946,5
0.2596832911173503,0.004708679111214286,0.018567403157552082,0.000525495654138252,,sqrt,2,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2}",0.7503801898044201,0.7804460245636715,0.8215740250700824,0.784133413146058,0.0291814800958496,4
0.2417419751485189,0.005803169172501964,0.018072128295898438,0.000702074262912383,,sqrt,5,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5}",0.7443642642552725,0.7785587504437345,0.8043747186709319,0.775765911123313,0.02457863060188334,11
0.45218690236409503,0.011826445642508643,0.0170138676961263,0.00020237232778397797,,0.7,2,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 2}",0.7583976680102936,0.7951096607788118,0.8156154767810883,0.7897076018567312,0.023669334458760894,2
0.42490442593892414,0.004663593645203126,0.017178773880004883,0.0004940494355633306,,0.7,5,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 5}",0.76931938345095,0.7929698702956419,0.8077391312192116,0.7900094616552679,0.015823869504279754,1
